Company,Country
CLAWGEAR,Austria
Clemen & Jung e.K.,Germany
Clo Insulation,United Kingdom of Great Britain and Northern Ireland
CODE-4,Germany
Colt Canada,Canada
Colt`s Manufacturing Company LLC,United States of America (the)
comazo|protect,Germany
COMBAT SYSTEMS,Czech Republic (the)
Composites Solutions,United Arab Emirates (the)
Concordia Textiles,Belgium
Condor Outdoor Products,United States of America (the)
Conducttr Germany GmbH,Germany
Con-Tex GmbH,Germany
Continest Technologies PLc,Hungary
Cooneen Group,United Kingdom of Great Britain and Northern Ireland
COP Vertriebs-GmbH,Germany
CORDURA® Advanced Fabrics,United Kingdom of Great Britain and Northern Ireland
CORE SURVIVAL,United States of America (the)
CTC Medical GmbH,Germany
CT-Video GmbH,Germany
Czech Trade Promotion Agency / CzechTrade,Czech Republic (the)
Daniel Technologies,Ireland
DEFCON 5 srl,Italy
Defenture BV,Netherlands (the)
DEFTEX,Germany
DERYA,Turkey
DESIGN TECH s.r.o.,Czech Republic (the)
Detection Labs Inc,United States of America (the)
Deutsche Gesellschaft für Cybersicherheit,Germany
Deutsche METROHM GmbH & Co. KG,Germany
Devold of Norway,Norway
Dillon Europe GmbH,Germany
Direct Action,Poland
DIVE SYSTEM - RATIO COMPUTERS,Italy
DNS Alpha EMEA GmbH,Germany
DOK-ING,Croatia
Donaustahl GmbH,Germany
Droptec GmbH,Switzerland
DSIA CR,Czech Republic (the)
DST innovation GmbH,Germany
Dynamit Nobel Defence,Germany
Earmor,Czech Republic (the)
East Gear,Hong Kong
EASTPROD SARL,France
Edge Autonomy,Latvia
Edge Eyewear,United States of America (the)
EISELE Case-Systems GmbH,Germany
Elbit Systems Deutschland GmbH & Co.KG,Germany
Elite Survival Systems,United States of America (the)
ELMON SA,Greece
ELP GmbH European Logistic Partners,Germany
ELYTER,Spain
EOTECH,United States of America (the)
Ernst Apel GmbH,Germany
E-Tint,United States of America (the)
ETZEL Behördenausstatter,Germany
Euro Security Products s.r.o.,Czech Republic (the)
Europlast-Nycast GmbH,Germany
EuroSpike GmbH,Germany
Evo Ballistix GmbH,Germany
EW Drone Passion Gmbh,Austria
Explorer Cases by GT Line,Italy
EXTREMA RATIO SRL,Italy
FAB DEFENSE Ltd.,Israel
Fabbrica d'Armi Pietro Beretta SpA,Italy
FALCOM,Denmark
FARO Europe,Germany
Federal Ammunition,United States of America (the)
Ferkinghoff International GmbH & Co,Germany
"Field Optics Research, Inc.",United States of America (the)
Finn-Savotta Oy,Finland
fireKRAFT AUSTRIA - JOSEF KRAFT GmbH,Austria
FirstSpear LLC,United States of America (the)
Fischer Connectors GmbH,Germany
Fjord Defence AS,Norway
Flandrin Technologies,France
FN HERSTAL,Belgium
Fobus International Ltd,Israel
FOG GmbH,Germany
FOX KNIVES - Oreste Frati Srl,Italy
Frankonia Handels GmbH & Co. KG,Germany
Franz Achleitner GMBH,Austria
Fraunhofer IPA,Germany
Freytag Karosseriebau GmbH & Co.KG,Germany
Funk Fuchs GmbH,Austria
FWS Europe,United Kingdom of Great Britain and Northern Ireland
G.GLENTOS S.A.,Greece
GALKO d.o.o.,Croatia
Galvion,Canada
GARANT,Germany
Garanti Kompozit,Turkey
Gelsenkirchener Werkstätten,Germany
Gewerkschaft der Polizei,Germany
GHOSTHOOD & CONCAMO,Germany
Glenair,Germany
GLOCK,Austria
"Gore, W.L. & Associates GmbH",Germany
GPO German Precision Optics GmbH,Germany
GSCI Advanced Photonics,Canada
Guide Sensmart Technology GmbH,Germany
H Q H SYSTEM spol. s r.o.,Czech Republic (the)
HAIX®-Schuhe Produktions- und Vertriebs GmbH,Germany
HEATHCOAT FABRICS LTD,United Kingdom of Great Britain and Northern Ireland
Heckler & Koch,Germany
Heim GmbH,Germany
Helix Operations Limited,United Kingdom of Great Britain and Northern Ireland
Helmut Hofmann GmbH,Germany
HENSOLDT,Germany
HFH Products Europe GmbH,Germany
Hikvision,Germany
HINTSTEINER Group,Austria
"Hoernecke, Carl Chem. Fabrik GmbH & Co. KG",Germany
Holik International s.r.o.,Czech Republic (the)
HOLOGATE,Germany
"Holosun Technologies, Inc",United States of America (the)
Hornady,United States of America (the)
HPE POLAND,Poland
Hudson Supplies Inc.,Canada
HUXWRX Safety Co.,United States of America (the)
ICOR Technology,Canada
IDC SYSTEM AG,Switzerland
IEA Mil-Optics GmbH,Germany
IHMATI,France
IMTRADEX,Germany
Institut Dr. Foerster,Germany
International Brands Group,Netherlands (the)
INTERNATIONAL POLICE ASSOCIATION,Germany
InVeris Training Solutions,United States of America (the)
ipek savunma,Turkey
IPURSER GmbH,Germany
"IRay Technology Co., Ltd.",China
ISS International Security School & Services GmbH®,Germany
JF-Safetylights,Germany
JK Defence & Security Products GmbH,Germany
JUMA Communications Ltd,United Kingdom of Great Britain and Northern Ireland
Kahles GmbH,Austria
KAMOTEXTIL,Bulgaria
KAP-KO doo,Croatia
Kärcher Futuretech GmbH,Germany
Karrimor SF,United Kingdom of Great Britain and Northern Ireland
KESTREL BALLISTICS,United States of America (the)
KING COBRA HOLSTERS,Italy
K-ISOM,Germany
Kongsberg Target Systems AS,Norway
Kroll International,United States of America (the)
KTL GmbH - NITECORE,Germany
Kydex Holster NLD,Netherlands (the)
L3Harris Technologies,United States of America (the)
Laco Uhren,Germany
Lahoux Optics GmbH,Germany
Laser Ammo Europe,Sweden
Laser Shot Inc.,United States of America (the)
Leafield Cases,United Kingdom of Great Britain and Northern Ireland
"Leapers, Inc.",United States of America (the)
Lebel,France
Lebrecht Schleiftechnik e.K.,Germany
Leupold & Stevens,United States of America (the)
LIFTEUROP,Luxembourg
Lindnerhof Taktik,Germany
LMSGear,Austria
LMT Defense,United States of America (the)
Logistik Unicorp Inc.,Canada
LOWA Sportschuhe GmbH,Germany
LS INNOVENTA - T1G,Belgium
Lupine Lighting Systems GmbH,Germany
Mactronic Group,Poland
MAGNUM EUROPE,United Kingdom of Great Britain and Northern Ireland
MAGPUL,United States of America (the)
MAK C. E. T. GmbH,Germany
Mantis,United States of America (the)
MASTER TEXTILE MILLS,Pakistan
Maxim Defense Industries,United States of America (the)
Maxis Gruppe,Germany
MBDA Deutschland GmbH,Germany
MD Service und Dienstleistungs GmbH / MD Protect,Germany
MDT Sporting Goods,Canada
md-textil e.K.,Germany
Mehler Engineered Defence GmbH,Germany
Mehler Law Enforcement,Germany
Mehler Law Enforcement,Germany
Mehler Vario System GmbH,Germany
Meier-Medizintechnik GmbH,Germany
Meindl,Germany
MEN - Metallwerk Elisenhütte GmbH,Germany
"Meopta - optika, s.r.o.",Czech Republic (the)
Messer Waffenhandel & Sicherheitsgesellschaft mbH,Germany
MILFORCE EQUIPMENT,China
Milliken & Company,United States of America (the)
MILORANGE poolmedia GmbH,Germany
"Mind Mash, Division of Hudson Supplies",Canada
Mirion Technologies (Canberra) GmbH,Germany
Mittler Report Verlag GmbH,Germany
MK Technology GmbH Sicherheitsausrüstung,Germany
MKE INC.,Turkey
MKU Limited,India
MLV,Denmark
mobibed,Germany
Modestone - Any Weather One Paper,Finland
Modgunn Security ApS,Denmark
MOIRA,Czech Republic (the)
MoST,Poland
MXR Tactics,Austria
Nachtsichttechnik Jahnke,Germany
NANUK by PLASTICASE INC,Netherlands (the)
NAVAJO FABRICS,United States of America (the)
New Media AV,Germany
Newcon Optik,Canada
Nexter Robotics,France
NEXTORCH Deutschland GmbH,Germany
NFM Group,Norway
NFM Group,Norway
Niebling Technische Bürsten GmbH,Germany
Night Vision Devices,United States of America (the)
Nightsearcher Lichttechnik GmbH,United Kingdom of Great Britain and Northern Ireland
Nightstick,United States of America (the)
NITEHOG Europe,Germany
NOBELSPORT SA,France
Noblex E-Optics,Germany
NO-NAIL BOXES,Luxembourg
NOVO DR Ltd.,Israel
NOWAR security equipment GmbH,Germany
NST Newco Safety Technologies GmbH,Germany
NT Service,Lithuania
NuernbergMesse North America Inc.,United States of America (the)
Nurol Teknoloji,Turkey
N-Vision Optics,United States of America (the)
NVLS,Spain
"O.F. Mossberg & Sons, Inc.",United States of America (the)
Oakley SI,Germany
Oceania Defence uk ltd,United Kingdom of Great Britain and Northern Ireland
Olympia Triumph,United Kingdom of Great Britain and Northern Ireland
OPTIX JSC,Bulgaria
PELI PRODUCTS,Germany
Peltonen Knives,Finland
PENTAGON® TACTICAL,Greece
PepperBall,United States of America (the)
PETZL,Germany
Phonak,Switzerland
Piexon AG,Switzerland
PITAGONE,Belgium
Plastica Panaro Srl,Italy
P-MTC d.o.o.,Croatia
POL-TEC GmbH & Co. KG,Germany
Poseidon Diving Systems,Sweden
Potti Corp. EU,Netherlands (the)
Power Hit,Mexico
PPF Germany,Germany
PPM GmbH,Germany
Prabos plus a.s.,Czech Republic (the)
Precision Technic Defence A/S,Denmark
PREVENCY GmbH,Germany
Primary Arms Optics,United States of America (the)
Princeton Tec,United States of America (the)
Proengin,France
Profile Equipment BV,Netherlands (the)
PROMEC,Turkey
pro-medi GmbH,Germany
Pro-Shot Products,United States of America (the)
PROTECT - Laserschutz GmbH,Germany
PROTECTILE,Austria
Protection Group Danmark,Denmark
PROTEQ bodygear,Germany
PSV Project Support Vehicles GmbH,Germany
Pure Hydration,United Kingdom of Great Britain and Northern Ireland
Qioptiq Excelitas,United Kingdom of Great Britain and Northern Ireland
Qntrol,Germany
RADAR 1957,Italy
RAIDS Italia,Italy
Rainer Diederich GmbH (D.E.S.),Germany
RAMP Global Technology GmbH,Germany
RavenBelt,Austria
REAL TARGET s.r.o.,Czech Republic (the)
Recknagel GmbH & Co. KG,Germany
Recon Company,Germany
REDO s.r.o.,Czech Republic (the)
REEQ,Netherlands (the)
Refense Virtual Training Solutions,Switzerland
Revision Military Ltd,United States of America (the)
Rheinmetall,Germany
Rheinmetall,Germany
RICHA,Belgium
Riwit GmbH,Germany
RWS GmbH,Germany
S.W.I.S. GmbH,Germany
S4 Supplies GmbH,Germany
SABRE - Security Equipment Corporation,United States of America (the)
Safran Vectronix AG,Switzerland
Sako Oy,Finland
Santi Group,Poland
SAPPHIRE FINISHING MILLS LIMITED,Pakistan
Sauer GmbH - Schießanlagen - Geschossfänge,Germany
Savox Communications,Finland
SchleTek Deutschland Gun-Tuning,Germany
Schmidt & Bender,Germany
"Schöffel Sportbekleidung GmbH, Technical Wear",Germany
SCHUBERTH,Germany
SCUBAPRO,United States of America (the)
Securetec Detektions-Systeme AG,Germany
Securiton Deutschland,Germany
Sellier&Bellot a.s.,Czech Republic (the)
SENTRY Products Group,United States of America (the)
SEQPROTECT GmbH & Co. KG,Germany
Serstech,Sweden
servoprax GmbH,Germany
SESTAN-BUSCH,Croatia
SET Breaching,Sweden
SETOLITE Lichttechnik GmbH,Germany
SEYNTEX,Belgium
Shadow Systems LLC,United States of America (the)
Shoes for Crews Europe,Ireland
SIAMIDIS SA,Greece
Siegrist GmbH,Germany
SIGNATURE SYSTEMS,United States of America (the)
Silver Oak Leaf Inc,United States of America (the)
SIMUNITION / FORCE ON FORCE,United States of America (the)
Sioen Ballistics,Belgium
SIONYX,United States of America (the)
SKYLOTEC GmbH,Germany
SMARTSHOOTER,Germany
SnigelDesign AB,Sweden
SOAL Marine Group,Sweden
Solectric GmbH - DJI Enterprise,Germany
Solid Ground,Norway
"Sony Europe B.V., Zweigniederlassung Deutschland",Germany
SORDIN AB,Sweden
SPAR-TAC,Croatia
Special Vehicle,France
SPEEDSAFE,Germany
Spike Stinger International,Netherlands (the)
Stag Arms,United States of America (the)
STAHLKONTOR GmbH & Co. KG,Germany
STEINER eOptics,United States of America (the)
STEINER-Optik,Germany
STEYR ARMS,Austria
Stoof,Germany
StormTec e.K.,Germany
"Streamlight, Inc.",United States of America (the)
Strulik GmbH,Germany
Stumpf + Kossendey,Germany
Suprobox,Turkey
"SureFire, LLC",United States of America (the)
Svala of Finland,Finland
Swarovski Optik,Austria
Swedish Ordnance AB,Sweden
Swiss Aerobotics AG,Switzerland
Swiss Eye International GmbH,Germany
SwissP Defence AG,Switzerland
SYSTEMS Technology CZ spol. s r. o.,Czech Republic (the)
TacticalGear.EU,Netherlands (the)
Tacticaltrim,Germany
TactiScan,Germany
TACWRK,Germany
Taiga AB,Sweden
TARPA,Turkey
Tasmanian Tiger,Germany
TAT3D TACTICAL 3D TARGET,Germany
TCH (UK) Limited,United Kingdom of Great Britain and Northern Ireland
Team Wendy,United States of America (the)
Tec Target Schneider GmbH,Germany
Tedder Industries,United States of America (the)
TEIJIN ARAMID GMBH,Germany
Teledyne FLIR,United States of America (the)
Telerob Gesellschaft für Fernhantierungstechnik mb,Germany
TenCate Advanced Armour,Netherlands (the)
TESS,Germany
TFB Ballistic Systems GmbH,Germany
Theissen Training Systems,Germany
THEON SENSORS Deutschland,Greece
Thermo Fisher Scientific,Germany
Thermoteknix,United Kingdom of Great Britain and Northern Ireland
Thermowave,Lithuania
Thiem Modular Buildings GmbH,Germany
"Tilak, a.s.",Czech Republic (the)
Titan Technology GmbH,Germany
TNO,Netherlands (the)
Total Premium Trading Oy,Finland
Trainshot Ltd.,Slovakia
TRAKA - Deutschland,Germany
Transvaro,Turkey
TraumaSim,Australia
Trijicon Inc.,United States of America (the)
TSS International BV - Armour Mobility,Netherlands (the)
UAB Brolis semiconductors,Lithuania
UF PRO,Slovenia
Ulbrichts Protection,Austria
Ultimat Safety Cuffs,Spain
Umarex GmbH & Co. KG,Germany
Uni-Safe Rettungsgeräte GmbH,Germany
Universal Shield Holding SA,Switzerland
UVEX ARBEITSSCHUTZ GMBH,Germany
Valhalla turrets,Slovenia
VALKRE,Serbia
VANEDA,Turkey
VAV WEAR,Turkey
VCsecurity by VisiConsult,Germany
VECTED GmbH,Germany
VEGA HOLSTER SRL,Italy
VERTX,United States of America (the)
VIGOR d.o.o.,Serbia
Virtual-Shot,Australia
Voccom Audio,Germany
VÖLKL GmbH & Co. KG,Germany
W+R PRO GmbH,Germany
Waffen-Albert GmbH,Germany
Waffentechnik Borkott & Eickhorn GmbH,Germany
WAIMEX Jagd- und Sportwaffen GmbH,Germany
WATTANA GmbH,Germany
WELP Group,Germany
WERO GmbH & Co. KG,Germany
WILDSTEER,France
Wiley X,Denmark
Wintex Apparel GmbH,Germany
WOOLPOWER,Sweden
"Wuhan Jinteng Manufacturing&Trading Co., Ltd",China
Wyssen Defence AG,Switzerland
"Xiamen Jude Webbing Co,. Ltd",China
XSun Germany GmbH,Germany
YUKKON OY,Finland
ZARGES GmbH,Germany
Zastava oruzje A.D.,Serbia
ZCO Zero Compromise Optic GmbH,Austria
ZDMS UG (hb),Germany
Ziegler Textil GmbH,Germany
